flaccid	flaccid<br>ˈflæksɪd<br> прил.<br> 1) мягкий, слабый, дряблый (о мышечных тканях)<br>  flaccid cheeks — дряблые щеки<br>  Syn:<br>  limber, limp, flabby<br> 2) погибающий, нуждающийся во влаге (о растениях)<br>  The leaf was flaccid and apparently dead. — Лист был поникшим и, по-видимому, мёртвым.<br>  Syn:<br>  drooping<br> 3) бессильный, слабый, безвольный, пассивный<br>  Syn:<br>  weak, feeble
pollinate	pollinate<br>ˈpɔləneɪt<br> гл.; бот.<br> опылять
lode	lode<br>ləud<br> сущ.; геол.<br> 1) (рудная) жила; залежь<br> 2) магнетит, магнитный железняк
addle	addle<br>ˈædl<br>1. гл.<br> 1) портиться, протухать (о яйце)<br> 2) сбивать с толку, запутывать<br>  I suppose the shock had addled his poor old brain. — Я полагаю, что шок повлиял на его бедную старую голову.<br>  Syn:<br>  befuddle<br>2. прил.<br> 1) испортившийся, испорченный, тухлый<br>  addle egg — тухлое яйцо<br>  Syn:<br>  rotten, bad<br> 2) сумасбродный; запутавшийся, сбитый с толку<br>  Syn:<br>  extravagant, unbalanced
beaker	beaker<br>ˈbiːkə<br> сущ.<br> 1) стакан для вина<br> 2) уст. кубок, чаша<br> 3) лабораторный стакан; мензурка
viscous	viscous<br>ˈvɪskəs <br> прил.; = viscid
viscid	viscid<br>ˈvɪsɪd<br> прил.<br> вязкий, липкий, клейкий; густой, тягучий<br> Syn:<br> sticky, adhesive, viscous
flatulence	flatulence<br>ˈflætjələn(t)s<br> сущ.<br> 1) насыщенность газом<br> 2)<br>  а) мед. скопление газов (в желудке или кишечнике), метеоризм<br>   Syn:<br>   windiness<br>  б) способность определённой пищи вызывать скопление газов в желудке или кишечнике<br> 3) напыщенность, претенциозность; раздутость<br>  Syn:<br>  pomposity, bombast, pretentiousness
sieve	sieve<br>sɪv <br>1. сущ.<br> 1)<br>  а) решето, сито<br>   close-meshed sieve / hair sieve — мелкоячеистое сито<br>   cloth sieve — тканое сито<br>   coarse sieve — крупноячеистое сито<br>   separating sieve — сортировочное сито<br>   wire sieve — проволочное сито<br>   Syn:<br>   bolter II<br>  б) тех. грохот<br> 2) тех. решётчатый фильтр; сетчатый фильтр<br> 3) тех. просеивающая машина, просеиватель<br> 4) болтун (о том, кто не умеет держать секреты)<br>2. гл.<br> 1) просеивать; отсеивать<br>  Syn:<br>  sift 2.<br> 2) тех. грохотить; фильтровать<br> 3) изрешетить, пробить отверстия (как на сите)
muzzle	muzzle<br>ˈmʌzl <br>I<br>1. сущ.<br> 1) рыло, морда (животного)<br>  Syn:<br>  snout<br> 2) шутл., презр. морда (о лице человека)<br> 3) намордник<br> 4) цензура<br>  The self-imposed muzzle which he has worn for the last five years no longer prevents him from taking part in the military debates. — Добровольно надетая маска молчания, которую он носил последние пять лет, больше не мешает ему принять участие в военных дебатах.<br> 5) воен. дуло, дульный срез, жерло<br>  charged / crammed to the muzzle — заряженный<br> 6) тех. сопло; насадок<br> 7) воен.; жарг. респиратор; противогаз<br>2. гл.<br> 1) вытягивать рыло, морду; рыть, подрывать рылом<br> 2) обнюхивать (о животных)<br> 3) надевать намордник<br> 4) заставить молчать<br>  He complained of being muzzled by the chairman. — Он пожаловался, что председатель затыкает ему рот.<br>  Syn:<br>  gag 2.<br> 5) мор. подбирать (парус на яхте)<br> 6) разг.<br>  а) ударить по морде<br>  б) избить<br>II<br>1. сущ.<br> мозельвейн, мозельское вино<br>2. гл.; диал.<br> 1) напоить допьяна<br>  Syn:<br>  fuddle 2.<br> 2) напиваться
wad	wad<br>wɔd <br>1. сущ.<br> 1) тампон, шарик, комок (ваты, бумаги и т.п.)<br> 2) кусочек, кусок<br> 3) пыж<br> 4) масса, куча, большое количество<br> 5) разг. сдобная булочка, пирожок, сандвич<br> 6) разг. пачка бумажных денег; деньги<br> 7) диал.<br>  а) связка, пучок, вязанка, сноп (сена, соломы и т.п.)<br>  б) небольшое количество, горсть (гороха, бобовых и т.п.)<br> ••<br> to shoot one&apos;s wad — сделать всё возможное<br>2. гл.<br> 1) набивать или подбивать ватой<br> 2) затыкать (чем-л. мягким)<br> 3) туго сворачивать, комкать<br> 4) забивать пыж
adornment	adornment<br>əˈdɔːnmənt <br> сущ.<br> украшение
mete	mete<br>I miːt<br>сущ.<br> 1) граница<br>  - metes and bounds<br>  Syn:<br>  boundary<br> 2) пограничный столб; пограничный знак<br>II miːt<br>гл.<br> 1) (mete out) распределять, определять, назначать (награду, наказание)<br>  Syn:<br>  allot, deal out<br> 2) поэт., уст. измерять, мерить<br>  Syn:<br>  measure
christening	christening<br>ˈkrɪs(ə)nɪŋ <br> сущ.; рел.<br> крещение (церковное таинство)<br>  to perform a christening — окрестить
ulterior	ulterior<br>ʌlˈtɪərɪə <br> прил.<br> 1) невидимый, невыраженный, скрытый, неясный<br>  ulterior motive — скрытый мотив<br>  Syn:<br>  secret, concealed<br> 2) дальнейший, последующий, следующий, будущий<br>  Ulterior steps will be taken. — Будут приняты дальнейшие меры.<br>  Syn:<br>  further, subsequent<br> 3) лежащий по ту сторону, расположенный дальше
superlative	superlative<br>s(j)uːˈpɜːlətɪv <br>1. прил.<br> 1) лингв. превосходный (о степени)<br>  Gram:<br>  Superlative degree: adjecrives<br>  Superlative degree: adverbs<br> 2) величайший, высочайший<br>  Syn:<br>  supreme, greatest<br> 3) преувеличенный<br>2. сущ.<br> 1) вершина, кульминация, высшая точка<br> 2) лингв.<br>  а) превосходная степень<br>  б) прилагательное или наречие в превосходной степени<br> 3) преувеличение<br>  to speak in superlatives — преувеличивать
candid	candid<br>ˈkændɪd <br> прил.<br> 1) непредубеждённый, непредвзятый, беспристрастный, объективный, справедливый<br>  candid observer — беспристрастный наблюдатель<br>  Syn:<br>  fair II 1., just I 1., impartial, unprejudiced, unprepossessed<br> 2) откровенный, искренний, прямой; чистосердечный<br>  Let us be candid. — Будем же откровенны!<br>  Syn:<br>  outspoken, frank, ingenuous, open-hearted, straightforward, sincere<br>  Ant:<br>  insincere, misleading, sly, tricky, wily<br> 3) уст. белый<br>  Syn:<br>  white<br> ••<br> - candid friend
poach	poach<br>I pəuʧ <br>гл.<br> 1)<br>  а) незаконно вторгаться на чью-л. территорию с целью что-л. украсть (особенно скот или дичь)<br>  б) браконьерствовать, охотиться незаконно или незаконными методами<br>   The police caught the young man poaching for rabbits on the lord&apos;s land. — Полиция схватила юношу за незаконную охоту на кроликов на земле лорда.<br>   Syn:<br>   encroach, trespass<br> 2) спорт. переходить на половину поля противника и отбирать у него мяч<br> 3) спорт.; жарг. нечестным образом получить преимущество на скачках (обычно при старте забега)<br> 4)<br>  а) становиться мягкой, непрочной (о земле)<br>  б) вязнуть (в мягкой почве)<br>  в) смачивать (чтобы сделать более мягким)<br>  •<br> Syn:<br> soak<br> 5) топать, топтать; разрывать землю копытами<br>  Syn:<br>  trample<br> 6) диал. нащупывать путь тростью, палкой<br>  Syn:<br>  thrust<br> 7) уст.; диал.<br>  а) помешивать что-л. пальцем, рукой<br>   Syn:<br>   poke<br>  б) выкалывать глаза<br>  в) совать что-л. в дырки, отверстия<br>II pəuʧ <br>гл.<br> 1) готовить яйца-пашот (варить без скорлупы в кипятке)<br>  Syn:<br>  boil<br> 2) варить на медленном огне (овощи, рыбу)<br>  Syn:<br>  simmer
discern	discern<br>dɪˈsɜːn <br> гл.<br> 1) разглядеть<br>  Below the bridge we could discern just a narrow weedy ditch. — Под мостом мы могли разглядеть лишь узкую канаву, заросшую сорняками.<br>  Some people find it difficult to discern blue from green. — Некоторые люди с трудом отличают синий от зелёного.<br> 2) различать, распознавать<br> 3) понять, разгадать<br>  It was hard to discern why this was happening. — Было трудно понять, почему это происходит.<br> 4) отличать; проводить различие<br>  How can we discern the difference between two books in a dark room? — Как можно отличить две книги друг от друга в темноте?<br>  Syn:<br>  discriminate 2.
hammock	hammock<br>ˈhæmək <br> сущ.<br> гамак; подвесная койка
coalesce	coalesce<br>kəuəˈles <br> гл.<br> 1) объединяться, сливаться, образовывать единое целое<br>  Separate townships have coalesced into a single, sprawling colony. — Разрозненные населённые пункты слились в отдельное, всё разрастающееся поселение.<br> 2) объединяться (ради общих целей; в партии, союзы)<br>  People with different points of view coalesce into opposing factions. — Люди с различными взглядами объединяются в противостоящие друг другу фракции.<br>  Syn:<br>  unite I<br> 3) срастаться<br>  The carpels have coalesced to form the ovary. — Плодолистики срослись, образуя завязь<br>  Syn:<br>  accrete 2., grow together
endowment	endowment<br>ɪnˈdaumənt, en- <br> сущ.<br> 1) вклад, дар, пожертвование<br>  to provide an endowment for smb. — жертвовать кому-л., делать вклад на чьё-л. имя<br> 2) дар, дарование, талант<br>  mental endowments — умственные способности<br>  Syn:<br>  bequest, gift, talent
concise	concise<br>kənˈsaɪs <br> прил.<br> 1) краткий; сжатый; лаконичный, немногословный (о речи, стиле письма)<br>  Syn:<br>  compact II 1., short 1., brief 1.<br> 2) краткий, недолговременный<br>  Syn:<br>  brief
pithily	pithily<br>ˈpɪθɪlɪ <br> нареч.<br> по существу, в точку<br>  to talk pithily — говорить по существу
shackle	shackle<br>ˈʃækl <br>1. сущ.<br> 1) обычно shackles<br>  а) кандалы; наручники<br>  б) оковы, узы<br>   to cast off / throw off one&apos;s shackles — сбрасывать оковы<br> 2) тех. хомут, хомутик; соединительная скоба<br>2. гл.; книжн.<br> 1)<br>  а) заковывать в кандалы<br>   Syn:<br>   chain 2., fetter 2., handcuff 2., manacle 2.<br>  б) приковывать, соединять, сцеплять прям. и перен.<br>   Don&apos;t shackle yourself with property. — Не связывай себя недвижимостью.<br>   Syn:<br>   chain 2., fetter 2., link I 2., couple 2.<br> 2) затруднять, мешать, обременять, сковывать, стеснять<br>  Firms are shackled with stupid rules that prevent them from increasing trade. — Деятельность многих фирм сковывается дурацкими законами, которые не дают им наращивать объём продаж.<br>  Ant:<br>  extricate
ravine	ravine<br>rəˈviːn <br> сущ.<br> ущелье; лощина, овраг, ложбина; дефиле<br> Syn:<br> gorge, canyon
contentment	contentment<br>kənˈtentmənt <br> = content II 1. 1)
alms	alms<br>ɑːmz <br> сущ.; употр. с гл. в ед. и мн.<br> милостыня, подаяние<br>  to dispense, give alms — подавать милостыню<br>  alms for the needy — подаяние бедным, подаяния нуждающимся<br> Syn:<br> charity
mooch	mooch<br>muːʧ<br>1. гл.; разг.<br> 1)<br>  а) = mooch about / around бездельничать, лентяйничать; околачиваться, шляться, слоняться<br>   There&apos;s nothing to do in this town except mooch around. — В этом городе больше нечего делать, кроме как слоняться по улицам.<br>   Syn:<br>   loaf II 2., loiter, hang about<br>  б) манкировать своими обязанностями, уклоняться от работы; прогуливать (уроки)<br>   Syn:<br>   skulk<br> 2) воровать, красть<br>  Syn:<br>  steal, pilfer<br> 3)<br>  а) жить на чужой счёт, на &quot;халяву&quot;; не платить за себя<br>  б) попрошайничать; клянчить, выпрашивать<br>   I came across a student, mooching drinks, an educated man with no place to sleep. — Я встречал студента, который клянчил на выпивку, это был образованный человек, не имевший своего угла.<br>2. сущ.; амер.; разг.; = mouch<br> 1) бездельничанье; шатание, околачивание без дела<br>  on the mooch — без дела<br>  You are doing a mooch round the town. — Ты слоняешься по городу.<br> 2) попрошайка<br>  Syn:<br>  beggar, cadger
preposterous	preposterous<br>prɪˈpɔst(ə)rəs <br> прил.<br> 1) абсурдный, нелепый, несообразный<br>  preposterous idea — нелепая идея<br>  The muff and fur are preposterous in June. — Муфта и шуба выглядят нелепо в июне.<br>  Syn:<br>  absurd, perverse, foolish, nonsensical<br> 2) редк. перевёрнутый, инвертированный
tramp	tramp<br>træmp <br>1. сущ.<br> 1)<br>  а) бродяга<br>   Syn:<br>   vagabond, vagrant, wanderer<br>  б) любитель прогулок<br> 2) разг. проститутка<br> 3) разг. долгое и утомительное путешествие пешком; пешая прогулка<br>  on (the) tramp — в пути, переходя с место на место (в поисках работы или бродяжничая)<br> 4) звук тяжёлых шагов; топот<br> 5) мор. грузовой пароход, не работающий на определённых рейсах<br>2. гл.<br> 1) тяжело ступать, громко топать<br>  Syn:<br>  pound<br> 2) разг. идти, ходить пешком<br> 3) бродяжничать<br>  Syn:<br>  stroll<br> 4) топтать, утаптывать, утрамбовывать<br>  Syn:<br>  ram<br> 5) наступать; нажимать ногой; давить ногой<br> 6) мор.; разг.<br>  а) водить судно, не работающее на определённых рейсах<br>  б) плыть на таком судне
belligerent	belligerent<br>bɪˈlɪʤər(ə)nt <br>1. сущ.<br> воюющая сторона (в войне)<br>2. прил.<br> 1) воюющий, находящийся в состоянии войны<br> 2) агрессивный, воинственный, боевой; драчливый<br>  Syn:<br>  hostile
vagrant	vagrant<br>ˈveɪgr(ə)nt <br>1. сущ.<br> бродяга; праздношатающийся<br>  If you dare to trespass on my grounds you will be treated as a vagrant or a beggar. — Если вы осмелитесь ступить на мои земли, с вами поступят, как с бродягой или нищим.<br> Syn:<br> wanderer<br>2. прил.<br> 1) бродячий; странствующий<br>  vagrant tribes — кочевые племена<br>  vagrant birds — перелётные птицы<br> 2) изменчивый; блуждающий<br>  vagrant fancies — непостоянные фантазии<br>  vagrant temper — изменчивый нрав<br> 3) движущийся<br>  vagrant stream — струящийся поток<br> 4) мед. блуждающий (о клетке)
treble	treble<br>ˈtrebl <br>1. прил.<br> 1) тройной, утроенный<br>  treble walls — тройные стены<br>  treble velocity — утроенная скорость<br>  He ordered three treble brandies. — Он заказал три тройных бренди.<br>  Syn:<br>  threefold, triple<br> 2) муз. дискантовый<br>2. сущ.<br> 1) тройное количество<br> 2) муз. дискант; сопрано<br>3. гл.<br> 1)<br>  а) утраиваться; складываться в три слоя<br>  б) утраивать; складывать в три слоя<br> 2) муз. петь дискантом
recalcitrant	recalcitrant<br>rɪˈkælsɪtrənt<br>1. прил.<br> 1) непокорный; упорный; неповинующийся; упорствующий в неподчинении (чему-л.)<br>  Syn:<br>  unruly<br> 2) стойкий, прочный; неподдающийся воздействию<br>  Syn:<br>  resistant<br>2. сущ.<br> непокорный человек, упрямец, бунтарь, мятежник<br>  All recalcitrants were treated as rebels and traitors. — Все непокорные считались мятежниками и предателями.
denunciation	denunciation<br>dɪˌnʌn(t)sɪˈeɪʃ(ə)n <br> сущ.<br> 1) порицание, осуждение; открытое обвинение<br>  sweeping denunciation — огульное осуждение<br>  bitter / scathing / strong / vehement denunciation — резкое осуждение<br>  Syn:<br>  condemnation<br> 2) донос<br> 3) угроза<br>  Syn:<br>  threat, menace<br> 4) юр. денонсация, отказ от договора, расторжение договора
squalor	squalor<br>ˈskwɔlə<br> сущ.<br> 1)<br>  а) грязь, запустение<br>  б) бедность, нищета; убогость<br>   Syn:<br>   misery<br> 2) моральное убожество; моральная слабость
flaunt	flaunt<br>flɔːnt<br> гл.<br> 1) гордо, весело развеваться (о флагах, знамёнах, плюмажах и т.п.)<br> 2)<br>  а) дефилировать; выставлять себя напоказ, рисоваться; щеголять<br>   Syn:<br>   parade 2., show off<br>  б) иметь бросающийся в глаза, яркий внешний вид<br> 3) выставлять напоказ (что-л.)<br>  flaunting his superiority — нарочито подчёркивая своё превосходство<br>  Syn:<br>  parade 2., flourish 2.<br> 4) игнорировать, презирать<br>  He flaunted the rules. — К правилам он относился с презрением.
countenance	countenance<br>ˈkaunt(ə)nən(t)s <br>1. сущ.; книжн.<br> 1) лицо, выражение лица<br>  Syn:<br>  look 1., expression, face 1., visage<br> 2) хладнокровие, спокойствие<br>  - keep one&apos;s countenance<br> 3) проявление сочувствия; моральная поддержка; одобрение, поощрение<br> 4) уст. стиль поведения, манера держать себя<br>  Syn:<br>  bearing I 1., demeanour<br>2. гл.<br> 1) одобрять, разрешать; давать санкцию (на совершение чего-л.)<br>  Syn:<br>  approve, sanction 2., favour 2., patronize<br> 2) оказывать моральную поддержку, поощрять; сочувствовать
sob	sob<br>I sɔb <br>1. гл.<br> 1) рыдать; всхлипывать<br>  to sob bitterly — горько рыдать<br>  Syn:<br>  weep<br> 2) = sob out говорить, всхлипывая от рыданий<br>  The child sobbed a few words to us. — Ребёнок, рыдая, пробормотал нам несколько слов.<br>  She sobbed out her story. — Рыдая, она рассказала свою историю.<br>2. сущ.<br> рыдание; всхлипывание<br>  the heel-tap of a sob — последние всхлипывания<br>  I hid my face in my hands and faked some sobs. — Я закрыл лицо руками и притворился, что рыдаю.<br>  - sob story<br>II sɔb <br>= sov
hasten	hasten<br>ˈheɪs(ə)n <br> гл.<br> 1) спешить, торопиться, делать (что-л.) в спешке, второпях; поспешать (сделать что-л.)<br>  And suddenly the crowd hastened away. — И вдруг толпа устремилась прочь.<br>  He hastened to remark that the duke was right in his will to let them go. — Он поспешил заметить, что герцог был прав в своём желании отпустить их.<br>  Syn:<br>  hurry, be in a hurry, haste<br> 2)<br>  а) торопить, поторапливать; подгонять<br>   He hastened her to the door. — Он быстро проводил её до двери. (желая поскорее от неё отделаться)<br>   Syn:<br>   hurry, precipitate, urge<br>  б) ускорять (какой-л. процесс), способствовать скорому свершению или завершению (чего-л.)<br>   They try to hasten the coming of a new order. — Они пытаются ускорить выход нового приказа.<br>   She hastened the time of our meeting. — Она перенесла нашу встречу на более раннее время.<br>   He hastened his step. — Он ускорил шаг.<br>   Syn:<br>   quicken, accelerate, expedite
garble	garble<br>ˈgɑːbl<br> гл.<br> подтасовывать, искажать, фальсифицировать<br> Syn:<br> falsify, forge, adulterate
desecration	desecration<br>ˌdesɪˈkreɪʃ(ə)n<br> сущ.<br> осквернение; надругательство над святыней; профанация, опошление<br>  the desecration of the abbey chapel — осквернение монастырской часовни<br> Syn:<br> defilement 2), profanation, violation<br> Ant:<br> consecration, purification, sanctification
gravy	gravy<br>ˈgreɪvɪ <br> сущ.<br> 1) подливка (из сока жаркого), соус, сок<br>  - thick gravy<br>- watery gravy<br>- stew in one&apos;s own gravy<br>- goose without gravy<br> 2)<br>  а) амер.; разг. лёгкая нажива, незаконные доходы<br>   - gravy train<br>- ride the gravy train<br>- board the gravy train<br>- ride the gravy boat<br>- board the gravy boat<br>  б) взятка<br>  в) синекура, &quot;тёпленькое&quot; местечко
aloofness	aloofness<br>əˈluːfnəs<br> сущ.<br> отчуждённость; индифферентность, равнодушие<br> Syn:<br> indifference
fulcrum	fulcrum<br>ˈfulkrəmˌ ˈfʌlkrəm<br> сущ.<br> 1) физ. точка опоры (рычага)<br> 2) тех. ось или центр шарнира<br> 3)<br>  а) бот. боковые, побочные органы растения: прицветник, прилистник<br>  б) бот. ствол, стебель<br> 4) средство достижения цели
derrick	derrick<br>ˈderɪk <br> сущ.<br> 1) палач, вешатель (от имени лондонского палача времен Елизаветы I)<br>  Syn:<br>  hangman<br> 2) виселица<br>  Syn:<br>  gallows<br> 3) тех. деррик (подъёмный кран); ворот для подъема тяжестей; подъёмная (грузовая) стрела<br>  Derrick is a kind of crane in which the jib is pivoted to the foot of the central post, so that it may take various angles with the perpendicular. — Деррик - это такой кран, у которого стрела крепится у основания, так что она может подниматься под разными углами.<br> 4) буровая вышка<br>  The frameworks of oil derricks towered above us. — Над нами возвышались нефтяные вышки.
usury	usury<br>ˈjuːʒ(ə)rɪ <br> сущ.<br> 1) ростовщичество<br>  to condemn / outlaw usury — осуждать ростовщичество<br>  to engage in usury, to practise usury — заниматься ростовщичеством<br>  Syn:<br>  moneylending<br> 2) излишек<br>  with usury — с лихвой
demote	demote<br>dɪˈməut <br> гл.; амер.<br> понижать в должности, в звании<br>  The general was demoted to captain as a severe punishment. — В качестве сурового наказания генерал был разжалован в капитаны.<br> Ant:<br> promote
